RANK,NAME,REVENUES ($M),REVENUE PERCENT CHANGE,PROFITS ($M),PROFITS PERCENT CHANGE,ASSETS ($M),"MARKET VALUE — AS OF MARCH 29, 2019 ($M)",CHANGE IN RANK (FULL 1000),EMPLOYEES,CHANGE IN RANK (500 ONLY),URL_FORBES,URL_COMPANY,SEARCH_URL,URL_COMPANY_SUFFIX,URL_LEADERSHIP,URL_LEADERSHIP_ROOT,URL_DOMAIN
84,Massachusetts Mutual Life Insurance,"$39,267.2",17.2%,$397.9,-22.4%,"$265,812.6",-,9,"9,844",9,https://fortune.com/fortune500/2019/massachusetts-mutual-life-insurance,http://www.massmutual.com,https://www.google.com/search?q=Massachusetts Mutual Life Insurance+corporate+leadership+page,massmutual.com,https://www.massmutual.com/about-us/corporate-governance,https://www.massmutual.com,.com
85,TJX,"$38,972.9",8.7%,"$3,059.8",17.3%,"$14,326.0","$65,615.7",-,"270,000",-,https://fortune.com/fortune500/2019/tjx,http://www.tjx.com,https://www.google.com/search?q=TJX+corporate+leadership+page,tjx.com,https://www.tjx.com/investors/governance/executive-officers,https://www.tjx.com,.com
86,ConocoPhillips,"$38,727.0",18.9%,"$6,257.0",-,"$69,980.0","$75,710.1",9,"10,800",9,https://fortune.com/fortune500/2019/conocophillips,http://www.conocophillips.com,https://www.google.com/search?q=ConocoPhillips+corporate+leadership+page,conocophillips.com,http://www.conocophillips.com/about-us/leadership/,http://www.conocophillips.com,.com
87,Deere,"$37,357.7",25.6%,"$2,368.4",9.7%,"$70,108.0","$50,908.0",15,"74,413",15,https://fortune.com/fortune500/2019/deere,http://www.johndeere.com,https://www.google.com/search?q=Deere+corporate+leadership+page,johndeere.com,,,.com
88,Tech Data,"$37,239.0",1.3%,$340.6,192.0%,"$12,986.6","$3,779.0",-5,"14,000",-5,https://fortune.com/fortune500/2019/tech-data,http://www.techdata.com,https://www.google.com/search?q=Tech Data+corporate+leadership+page,techdata.com,https://investor.techdata.com/governance/executive-management/default.aspx,https://investor.techdata.com,.com
89,Enterprise Products Partners,"$36,534.2",24.9%,"$4,172.4",49.1%,"$56,969.8","$63,579.8",16,"7,000",16,https://fortune.com/fortune500/2019/enterprise-products-partners,http://www.enterpriseproducts.com,https://www.google.com/search?q=Enterprise Products Partners+corporate+leadership+page,enterpriseproducts.com,https://www.enterpriseproducts.com/about-us/management,https://www.enterpriseproducts.com,.com
90,Nike,"$36,397.0",6.0%,"$1,933.0",-54.4%,"$22,536.0","$132,529.5",-1,"73,100",-1,https://fortune.com/fortune500/2019/nike,http://www.nike.com,https://www.google.com/search?q=Nike+corporate+leadership+page,nike.com,https://about.nike.com/pages/executives,https://about.nike.com,.com
91,Publix Super Markets,"$36,395.7",4.5%,"$2,381.2",3.9%,"$18,982.5",-,-3,"202,000",-3,https://fortune.com/fortune500/2019/publix-super-markets,http://www.publix.com,https://www.google.com/search?q=Publix Super Markets+corporate+leadership+page,publix.com,http://corporate.publix.com/,http://corporate.publix.com,.com
92,General Dynamics,"$36,193.0",16.9%,"$3,345.0",14.9%,"$45,408.0","$48,883.0",7,"105,600",7,https://fortune.com/fortune500/2019/general-dynamics,http://www.generaldynamics.com,https://www.google.com/search?q=General Dynamics+corporate+leadership+page,generaldynamics.com,,,.com
93,Exelon,"$35,985.0",7.3%,"$2,010.0",-46.7%,"$119,666.0","$48,623.7",-1,"33,383",-1,https://fortune.com/fortune500/2019/exelon,http://www.exeloncorp.com,https://www.google.com/search?q=Exelon+corporate+leadership+page,exeloncorp.com,https://www.exeloncorp.com/leadership-and-governance/executive-profiles,https://www.exeloncorp.com,.com
94,Plains GP Holdings,"$34,055.0",29.9%,$334.0,-,"$26,830.0","$3,974.4",21,"4,900",21,https://fortune.com/fortune500/2019/plains-gp-holdings,http://www.plainsallamerican.com,https://www.google.com/search?q=Plains GP Holdings+corporate+leadership+page,plainsallamerican.com,https://www.plainsallamerican.com/about-us/leadership/plains-gp-holdings-management,https://www.plainsallamerican.com,.com
95,3M,"$32,765.0",3.5%,"$5,349.0",10.1%,"$36,500.0","$119,659.8",2,"93,516",2,https://fortune.com/fortune500/2019/3m,http://www.3m.com,https://www.google.com/search?q=3M+corporate+leadership+page,3m.com,https://investors.3m.com/governance/corporate-officers/default.aspx,https://investors.3m.com,.com
96,AbbVie,"$32,753.0",16.1%,"$5,687.0",7.1%,"$59,352.0","$119,125.3",14,"30,000",14,https://fortune.com/fortune500/2019/abbvie,http://www.abbvie.com,https://www.google.com/search?q=AbbVie+corporate+leadership+page,abbvie.com,https://www.abbvie.com/our-company/leadership.html,https://www.abbvie.com,.com
97,CHS,"$32,683.3",2.0%,$775.9,983.8%,"$16,381.2",-,-1,"10,495",-1,https://fortune.com/fortune500/2019/chs,http://www.chsinc.com,https://www.google.com/search?q=CHS+corporate+leadership+page,chsinc.com,https://www.chsinc.com/our-company/chs-leadership,https://www.chsinc.com,.com
98,Capital One Financial,"$32,377.0",7.9%,"$6,015.0",203.5%,"$372,538.0","$38,340.7",3,"47,600",3,https://fortune.com/fortune500/2019/capital-one-financial,http://www.capitalone.com,https://www.google.com/search?q=Capital One Financial+corporate+leadership+page,capitalone.com,https://www.capitalone.com/commercial/about/leadership/,https://www.capitalone.com,.com
99,Progressive,"$31,979.0",19.2%,"$2,615.3",64.3%,"$46,575.0","$42,099.5",13,"37,346",13,https://fortune.com/fortune500/2019/progressive,http://www.progressive.com,https://www.google.com/search?q=Progressive+corporate+leadership+page,progressive.com,https://www.progressive.com/about/leadership/,https://www.progressive.com,.com
100,Coca-Cola,"$31,856.0",-10.0%,"$6,434.0",415.5%,"$83,216.0","$200,334.1",-13,"62,600",-13,https://fortune.com/fortune500/2019/coca-cola,http://www.coca-colacompany.com,https://www.google.com/search?q=Coca-Cola+corporate+leadership+page,coca-colacompany.com,https://www.coca-colacompany.com/our-company/coca-cola-leaders,https://www.coca-colacompany.com,.com
